 Datos de la estación - Meteo Navarra"Estación de Pamplona (ETSIA) UPNAAltitud 433 m.Datos desde el 01/01/2010hasta el 01/01/2011 en horario solar01/01/2010 01/01/2011 Los datos son PROVISIONALES
"","",
"Fecha","Temperatura media",
"","ºC",
"01/01/2010","5.8",
"02/01/2010","3.4",
"03/01/2010","5.3",
"04/01/2010","5.4",
"05/01/2010","4.6",
"06/01/2010","2.7",
"07/01/2010","0.5",
"08/01/2010","-1.2",
"09/01/2010","-2.2",
"10/01/2010","-2.4",
"11/01/2010","-1.7",
"12/01/2010","-1.0",
"13/01/2010","2.5",
"14/01/2010","6.1",
"15/01/2010","5.5",
"16/01/2010","6.3",
"17/01/2010","7.6",
"18/01/2010","6.3",
"19/01/2010","9.1",
"20/01/2010","7.3",
"21/01/2010","4.2",
"22/01/2010","4.4",
"23/01/2010","6.2",
"24/01/2010","6.2",
"25/01/2010","3.5",
"26/01/2010","1.0",
"27/01/2010","-0.2",
"28/01/2010","3.4",
"29/01/2010","5.7",
"30/01/2010","3.2",
"31/01/2010","2.1",
"01/02/2010","1.5",
"02/02/2010","1.6",
"03/02/2010","1.4",
"04/02/2010","4.9",
"05/02/2010","7.3",
"06/02/2010","7.3",
"07/02/2010","6.9",
"08/02/2010","4.5",
"09/02/2010","3.6",
"10/02/2010","1.7",
"11/02/2010","-2.2",
"12/02/2010","-2.3",
"13/02/2010","-2.2",
"14/02/2010","-0.8",
"15/02/2010","-1.4",
"16/02/2010","2.4",
"17/02/2010","6.0",
"18/02/2010","6.3",
"19/02/2010","4.9",
"20/02/2010","3.4",
"21/02/2010","4.6",
"22/02/2010","9.2",
"23/02/2010","9.9",
"24/02/2010","9.4",
"25/02/2010","11.6",
"26/02/2010","9.3",
"27/02/2010","12.0",
"28/02/2010","9.9",
"01/03/2010","9.1",
"02/03/2010","8.1",
"03/03/2010","6.8",
"04/03/2010","7.5",
"05/03/2010","6.3",
"06/03/2010","6.0",
"07/03/2010","2.8",
"08/03/2010","-0.5",
"09/03/2010","0.9",
"10/03/2010","-0.9",
"11/03/2010","1.0",
"12/03/2010","2.0",
"13/03/2010","5.0",
"14/03/2010","4.5",
"15/03/2010","6.1",
"16/03/2010","5.2",
"17/03/2010","9.6",
"18/03/2010","11.3",
"19/03/2010","11.5",
"20/03/2010","15.9",
"21/03/2010","11.7",
"22/03/2010","11.1",
"23/03/2010","10.8",
"24/03/2010","14.0",
"25/03/2010","11.1",
"26/03/2010","8.9",
"27/03/2010","9.3",
"28/03/2010","8.9",
"29/03/2010","11.5",
"30/03/2010","8.9",
"31/03/2010","7.8",
"01/04/2010","6.9",
"02/04/2010","7.7",
"03/04/2010","9.6",
"04/04/2010","6.7",
"05/04/2010","7.9",
"06/04/2010","10.9",
"07/04/2010","9.5",
"08/04/2010","8.9",
"09/04/2010","11.2",
"10/04/2010","11.7",
"11/04/2010","10.7",
"12/04/2010","9.0",
"13/04/2010","7.7",
"14/04/2010","8.6",
"15/04/2010","9.5",
"16/04/2010","12.1",
"17/04/2010","11.6",
"18/04/2010","12.2",
"19/04/2010","12.8",
"20/04/2010","14.5",
"21/04/2010","15.9",
"22/04/2010","13.6",
"23/04/2010","13.0",
"24/04/2010","14.4",
"25/04/2010","15.2",
"26/04/2010","16.3",
"27/04/2010","16.8",
"28/04/2010","17.4",
"29/04/2010","16.7",
"30/04/2010","14.1",
"01/05/2010","12.0",
"02/05/2010","9.4",
"03/05/2010","8.1",
"04/05/2010","5.5",
"05/05/2010","6.1",
"06/05/2010","8.0",
"07/05/2010","7.8",
"08/05/2010","12.1",
"09/05/2010","12.8",
"10/05/2010","12.2",
"11/05/2010","10.6",
"12/05/2010","10.3",
"13/05/2010","8.2",
"14/05/2010","8.9",
"15/05/2010","8.3",
"16/05/2010","9.4",
"17/05/2010","11.2",
"18/05/2010","13.3",
"19/05/2010","12.8",
"20/05/2010","15.2",
"21/05/2010","17.2",
"22/05/2010","17.8",
"23/05/2010","18.9",
"24/05/2010","20.4",
"25/05/2010","20.3",
"26/05/2010","17.0",
"27/05/2010","15.6",
"28/05/2010","13.9",
"29/05/2010","14.5",
"30/05/2010","17.4",
"31/05/2010","18.8",
"01/06/2010","17.1",
"02/06/2010","16.6",
"03/06/2010","18.3",
"04/06/2010","19.0",
"05/06/2010","20.9",
"06/06/2010","15.4",
"07/06/2010","18.7",
"08/06/2010","17.8",
